"globally unique ID","sample name","analysis/data type","environmental package","sample linkage","broad-scale environmental context","local environmental context","environmental medium","ecosystem","ecosystem_category","ecosystem_type","ecosystem_subtype","specific_ecosystem","slope aspect","history/agrochemical additions","extreme_unusual_properties/Al saturation","extreme_unusual_properties/Al saturation method","mean annual precipitation","mean annual temperature","history/crop rotation","current land use","current vegetation","current vegetation method","drainage classification","experimental factor","history/extreme events","soil_taxonomic/FAO classification","history/fire","history/flooding","extreme_unusual_properties/heavy metals","extreme_unusual_properties/heavy metals method","horizon method","link to classification information","link to climate information","soil_taxonomic/local classification","soil_taxonomic/local classification method","miscellaneous parameter","oxygenation status of sample","history/previous land use method","history/previous land use","profile position","mean seasonal precipitation","mean seasonal temperature","slope gradient","soil horizon","soil texture measurement","soil texture method","soil type","soil type method","temperature","history/tillage","water content","water content method","pH method","microbial biomass","microbial biomass method","carbon/nitrogen ratio","organic matter","organic nitrogen","total carbon","total nitrogen content","total nitrogen content method","total organic carbon","total organic carbon method","total phosphorus","phosphate","salinity","salinity method","growth facility","storage conditions","collection date","geographic location (country and/or sea,region)","geographic location (latitude and longitude)","elevation","sample storage temperature","composite design/sieving","size-fraction lower threshold","depth, meters","size-fraction upper threshold","sample material processing","biotic regimen","sample collection device","sample collection method","air temperature regimen","chemical administration","amount or size of sample collected","climate environment","gaseous environment","humidity regimen","observed biotic relationship","relationship to oxygen","light regimen","watering regimen","altitude","pH","calcium","magnesium","potassium","total nitrogen concentration","lime buffer capacity (at 30 minutes)","lime buffer capacity (after 5 day incubation)","manganese","zinc","ammonium nitrogen","nitrate nitrogen","nitrite nitrogen"
Bio-Scales:3f8322b3-26cc-46eb-9078-238a12388147,BESC-133-CL1_28_16_76,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-07","USA: Oregon, Clatskanie","46.121307 -123.269236","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,5.07,"2219.35 mg/kg","379.527 mg/kg","441.338 mg/kg","0.419 Percent","1252 ppm","3630.8 ppm","34.6609 mg/kg","5.5536 mg/kg","10.599 mg/kg","27.6905 mg/kg","0 mg/kg"
Bio-Scales:8c2cedf6-e93a-4d67-a2d7-1c43bdde4979,BESC-133-CL2_62_7_103,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-09","USA: Oregon, Clatskanie","46.121519 -123.270589","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,5.21,"2459.23 mg/kg","476.143 mg/kg","223.981 mg/kg","0.752 Percent","1347 ppm","3906.3 ppm","37.9868 mg/kg","13.3917 mg/kg","17.49 mg/kg","28.0405 mg/kg","0 mg/kg"
Bio-Scales:983116ce-a573-4fdd-bfbd-4a509a81c2e0,BESC-133-CL3_93_10_122,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-10","USA: Oregon, Clatskanie","46.121447 -123.2718","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,6.13,"2846.2 mg/kg","584.535 mg/kg","293.535 mg/kg","0.275 Percent","907 ppm","2630.3 ppm","47.9096 mg/kg","12.4877 mg/kg","7.2585 mg/kg","24.361 mg/kg","0.565 mg/kg"
Bio-Scales:d8284aff-d30e-4850-92a3-56d5a597b3a9,BESC-133-CO1_27_3_17,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-02","USA: Oregon, Corvallis","44.588014 -123.194065","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,7,"2625.84 mg/kg","536.746 mg/kg","168.928 mg/kg","0.366 Percent","713 ppm","2067.7 ppm","56.4224 mg/kg","4.429 mg/kg","3.8115 mg/kg","0.4135 mg/kg","0 mg/kg"
Bio-Scales:06687623-9797-4e5b-a038-6a6cb51895f8,BESC-133-CO1_27_3_18,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-02","USA: Oregon, Corvallis","44.588014 -123.194065","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,7.07,"2689.35 mg/kg","575.398 mg/kg","171.439 mg/kg","0.323 Percent","709 ppm","2056.1 ppm","56.1875 mg/kg","6.3205 mg/kg","4.1305 mg/kg","0.516 mg/kg","0 mg/kg"
Bio-Scales:d5571e0e-0f95-4a9b-a922-508dfe76460c,BESC-133-CO2_50_25_38,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-05","USA: Oregon, Corvallis","44.587694 -123.193368","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,7.18,"1860.34 mg/kg","337.385 mg/kg","499.004 mg/kg","0.081 Percent","378 ppm","1096.2 ppm","16.0681 mg/kg","4.2715 mg/kg","2.998 mg/kg","0.318 mg/kg","0 mg/kg"
Bio-Scales:b26b61c0-3553-4008-ae2c-6f5d881962e5,BESC-133-CO3_19_46_58,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-04","USA: Oregon, Corvallis","44.588118 -123.192766","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,6.64,"2240.05 mg/kg","435.555 mg/kg","160.591 mg/kg","0.11 Percent","547 ppm","1586.3 ppm","22.0105 mg/kg","2.2636 mg/kg","3.1565 mg/kg","2.1515 mg/kg","0 mg/kg"
Bio-Scales:b2237826-e0f4-4900-92a0-db236c097c4d,BESC-13-CL1_35_33_79,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-08","USA: Oregon, Clatskanie","46.120845 -123.269575","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,5.58,"2561.92 mg/kg","505.921 mg/kg","314.649 mg/kg","0.337 Percent","1138 ppm","3300.2 ppm","64.4016 mg/kg","10.2429 mg/kg","8.3295 mg/kg","27.324 mg/kg","0 mg/kg"
Bio-Scales:8b4a3fb8-2780-4545-9da5-a8505e6a58fa,BESC-13-CL2_39_29_106,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-08","USA: Oregon, Clatskanie","46.120936 -123.269747","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,5.52,"2480.86 mg/kg","514.993 mg/kg","395.775 mg/kg","0.302 Percent","1113 ppm","3227.7 ppm","56.7257 mg/kg","9.496 mg/kg","10.46 mg/kg","25.197 mg/kg","0 mg/kg"
Bio-Scales:0784ac99-10b6-442f-a9b0-398b64c8a7e8,BESC-13-CL2_39_29_107,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-08","USA: Oregon, Clatskanie","46.120936 -123.269747","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,5.49,"2692.19 mg/kg","572.539 mg/kg","480.125 mg/kg","0.341 Percent","1173 ppm","3401.7 ppm","58.5205 mg/kg","11.2205 mg/kg","9.7815 mg/kg","25.337 mg/kg","0 mg/kg"
