id	name	description	env_broad_scale	env_local_scale	env_medium	type	collection_date	depth	geo_loc_name	lat_lon	ecosystem	ecosystem_category	ecosystem_type	ecosystem_subtype	specific_ecosystem	add_date	community	depth2	habitat	identifier	location	mod_date	ncbi_taxonomy_name	sample_collection_site	part_of	alternative_identifiers	GOLD_sample_identifiers	INSDC_biosample_identifiers	host_name	nitrate	salinity	temp	subsurface_depth	env_package
gold:Gb0115859	Populus rhizosphere microbial communities from Tennessee, USA - Rhizosphere MetaG P. deltoides SRZDD2		{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00005801'}	{'has_raw_value': 'ENVO:00001998'}	nmdc:Biosample	{'has_raw_value': '2014-08-14'}	{'has_raw_value': '0.0', 'has_numeric_value': 0.0, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Tennessee'}	{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607}	Host-associated	Plants	Roots	Rhizosphere	Soil	2015-06-23	microbial community		Populus rhizosphere	Rhizosphere MetaG P. deltoidesSRZDD2	Populus rhizosphere	2021-06-14	rhizosphere metagenome	Rhizosphere soil	gold:Gs0103573				Populus					
gold:Gb0150221	Metatranscriptome of peatland microbial communities from Houghton, MN, USA - PEATcosm2014_Bin01_10_metaT	Peatland microbial communities from PEATcosm Experiment in MTU Mesocosm Facility, Houghton	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000044'}	{'has_raw_value': 'ENVO:00005774'}	nmdc:Biosample	{'has_raw_value': '2014-07-30'}	{'has_raw_value': '0.1', 'has_numeric_value': 0.1, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Michigan'}	{'has_raw_value': '47.1149 -88.5476', 'latitude': 47.1149, 'longitude': -88.5476}	Environmental	Terrestrial	Soil	Peat	Bog	2017-03-10	microbial communities	{'has_raw_value': '0.2', 'has_numeric_value': 0.2, 'has_unit': 'meter'}	Bog	PEATcosm2014_Bin01_10_metaT	MTU Mesocosm Facility, Houghton	2021-06-16	wetland metagenome	Peat 10-20cm depth	gold:Gs0110138									
gold:Gb0150222	peatland microbial communities from Houghton, MN, USA - PEATcosm2014_Bin01_30_metaT	Peatland microbial communities from PEATcosm Experiment in MTU Mesocosm Facility, Houghton	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000044'}	{'has_raw_value': 'ENVO:00005774'}	nmdc:Biosample	{'has_raw_value': '2014-07-30'}	{'has_raw_value': '0.3', 'has_numeric_value': 0.3, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Michigan'}	{'has_raw_value': '47.1149 -88.5476', 'latitude': 47.1149, 'longitude': -88.5476}	Environmental	Terrestrial	Soil	Peat	Bog	2017-03-10	microbial communities	{'has_raw_value': '0.4', 'has_numeric_value': 0.4, 'has_unit': 'meter'}	Bog	PEATcosm2014_Bin01_30_metaT	MTU Mesocosm Facility, Houghton	2021-06-16	wetland metagenome	Peat 30-40cm depth	gold:Gs0110138									
gold:Gb0150223	peatland microbial communities from Houghton, MN, USA - PEATcosm2014_Bin02_10_metaT	Peatland microbial communities from PEATcosm Experiment in MTU Mesocosm Facility, Houghton	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000044'}	{'has_raw_value': 'ENVO:00005774'}	nmdc:Biosample	{'has_raw_value': '2014-07-30'}	{'has_raw_value': '0.1', 'has_numeric_value': 0.1, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Michigan'}	{'has_raw_value': '47.1149 -88.5476', 'latitude': 47.1149, 'longitude': -88.5476}	Environmental	Terrestrial	Soil	Peat	Bog	2017-03-10	microbial communities	{'has_raw_value': '0.2', 'has_numeric_value': 0.2, 'has_unit': 'meter'}	Bog	PEATcosm2014_Bin02_10_metaT	MTU Mesocosm Facility, Houghton	2021-06-16	wetland metagenome	Peat 10-20cm depth	gold:Gs0110138									
gold:Gb0150224	Metatranscriptome of peatland microbial communities from Houghton, MN, USA - PEATcosm2014_Bin02_30_metaT	Peatland microbial communities from PEATcosm Experiment in MTU Mesocosm Facility, Houghton	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000044'}	{'has_raw_value': 'ENVO:00005774'}	nmdc:Biosample	{'has_raw_value': '2014-07-30'}	{'has_raw_value': '0.3', 'has_numeric_value': 0.3, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Michigan'}	{'has_raw_value': '47.1149 -88.5476', 'latitude': 47.1149, 'longitude': -88.5476}	Environmental	Terrestrial	Soil	Peat	Bog	2017-03-10	microbial communities	{'has_raw_value': '0.4', 'has_numeric_value': 0.4, 'has_unit': 'meter'}	Bog	PEATcosm2014_Bin02_30_metaT	MTU Mesocosm Facility, Houghton	2021-06-16	wetland metagenome	Peat 30-40cm depth	gold:Gs0110138									
gold:Gb0150225	peatland microbial communities from Houghton, MN, USA - PEATcosm2014_Bin05_10_metaT	Peatland microbial communities from PEATcosm Experiment in MTU Mesocosm Facility, Houghton	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000044'}	{'has_raw_value': 'ENVO:00005774'}	nmdc:Biosample	{'has_raw_value': '2014-07-28'}	{'has_raw_value': '0.1', 'has_numeric_value': 0.1, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Michigan'}	{'has_raw_value': '47.1149 -88.5476', 'latitude': 47.1149, 'longitude': -88.5476}	Environmental	Terrestrial	Soil	Peat	Bog	2017-03-10	microbial communities	{'has_raw_value': '0.2', 'has_numeric_value': 0.2, 'has_unit': 'meter'}	Bog	PEATcosm2014_Bin05_10_metaT	MTU Mesocosm Facility, Houghton	2021-06-16	wetland metagenome	Peat 10-20cm depth	gold:Gs0110138									
gold:Gb0150226	Metatranscriptome of peatland microbial communities from Houghton, MN, USA - PEATcosm2014_Bin05_30_metaT	Peatland microbial communities from PEATcosm Experiment in MTU Mesocosm Facility, Houghton	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000044'}	{'has_raw_value': 'ENVO:00005774'}	nmdc:Biosample	{'has_raw_value': '2014-07-28'}	{'has_raw_value': '0.3', 'has_numeric_value': 0.3, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Michigan'}	{'has_raw_value': '47.1149 -88.5476', 'latitude': 47.1149, 'longitude': -88.5476}	Environmental	Terrestrial	Soil	Peat	Bog	2017-03-10	microbial communities	{'has_raw_value': '0.4', 'has_numeric_value': 0.4, 'has_unit': 'meter'}	Bog	PEATcosm2014_Bin05_30_metaT	MTU Mesocosm Facility, Houghton	2021-06-16	wetland metagenome	Peat 30-40cm depth	gold:Gs0110138									
gold:Gb0150227	peatland microbial communities from Houghton, MN, USA - PEATcosm2014_Bin06_10_metaT	Peatland microbial communities from PEATcosm Experiment in MTU Mesocosm Facility, Houghton	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000044'}	{'has_raw_value': 'ENVO:00005774'}	nmdc:Biosample	{'has_raw_value': '2014-07-28'}	{'has_raw_value': '0.1', 'has_numeric_value': 0.1, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Michigan'}	{'has_raw_value': '47.1149 -88.5476', 'latitude': 47.1149, 'longitude': -88.5476}	Environmental	Terrestrial	Soil	Peat	Bog	2017-03-10	microbial communities	{'has_raw_value': '0.2', 'has_numeric_value': 0.2, 'has_unit': 'meter'}	Bog	PEATcosm2014_Bin06_10_metaT	MTU Mesocosm Facility, Houghton	2021-06-16	wetland metagenome	Peat 10-20cm depth	gold:Gs0110138									
gold:Gb0150228	Metatranscriptome of peatland microbial communities from Houghton, MN, USA - PEATcosm2014_Bin06_30_metaT	Peatland microbial communities from PEATcosm Experiment in MTU Mesocosm Facility, Houghton	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000044'}	{'has_raw_value': 'ENVO:00005774'}	nmdc:Biosample	{'has_raw_value': '2014-07-28'}	{'has_raw_value': '0.3', 'has_numeric_value': 0.3, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Michigan'}	{'has_raw_value': '47.1149 -88.5476', 'latitude': 47.1149, 'longitude': -88.5476}	Environmental	Terrestrial	Soil	Peat	Bog	2017-03-10	microbial communities	{'has_raw_value': '0.4', 'has_numeric_value': 0.4, 'has_unit': 'meter'}	Bog	PEATcosm2014_Bin06_30_metaT	MTU Mesocosm Facility, Houghton	2021-06-16	wetland metagenome	Peat 30-40cm depth	gold:Gs0110138									
gold:Gb0150229	peatland microbial communities from Houghton, MN, USA - PEATcosm2014_Bin10_10_metaT	Peatland microbial communities from PEATcosm Experiment in MTU Mesocosm Facility, Houghton	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000044'}	{'has_raw_value': 'ENVO:00005774'}	nmdc:Biosample	{'has_raw_value': '2014-07-28'}	{'has_raw_value': '0.1', 'has_numeric_value': 0.1, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Michigan'}	{'has_raw_value': '47.1149 -88.5476', 'latitude': 47.1149, 'longitude': -88.5476}	Environmental	Terrestrial	Soil	Peat	Bog	2017-03-10	microbial communities	{'has_raw_value': '0.2', 'has_numeric_value': 0.2, 'has_unit': 'meter'}	Bog	PEATcosm2014_Bin10_10_metaT	MTU Mesocosm Facility, Houghton	2021-06-16	wetland metagenome	Peat 10-20cm depth	gold:Gs0110138									
